student_id,name,department,age,attendance_%,math_score,science_score,english_score,internship,cgpa,avg_score,grade
S1075,Student_75,CIVIL,18.0,51.972547055748706,84.0,28.0,36.0,Yes,7.52,49.33,D
S1076,Student_76,IT,24.0,80.81369454587748,33.0,31.0,58.0,No,5.59,40.67,D
S1077,Student_77,CSE,,44.33190453875055,53.0,59.0,72.0,Yes,5.85,61.33,C
S1078,Student_78,ECE,23.0,41.839150132348365,63.0,72.0,56.0,Yes,6.76,63.67,C
S1079,Student_79,CSE,22.0,55.46097331067282,59.0,97.0,60.0,Yes,8.81,72.0,B
S1080,Student_80,IT,18.0,67.75737740435898,48.0,96.0,77.0,Yes,7.54,73.67,B
S1081,Student_81,CIVIL,18.0,92.09635032450282,60.0,69.0,89.0,No,8.19,72.67,B
S1082,Student_82,ECE,22.0,83.63014418597848,89.0,,73.0,Yes,9.93,81.0,B
S1083,Student_83,CSE,24.0,84.56239127199886,89.0,43.0,63.0,Yes,8.84,65.0,C
S1084,Student_84,ECE,20.0,65.52960006688451,48.0,87.0,54.0,Yes,7.17,63.0,C
S1085,Student_85,ECE,23.0,60.75609955281777,78.0,62.0,75.0,No,7.23,71.67,B
S1086,Student_86,CIVIL,19.0,,92.0,91.0,88.0,No,8.09,90.33,A
S1087,Student_87,CIVIL,21.0,99.25897382416346,51.0,83.0,54.0,No,8.33,62.67,C
S1088,Student_88,,19.0,,53.0,93.0,53.0,,7.5,66.33,C
S1089,Student_89,MECH,22.0,92.02188976734692,,37.0,100.0,Yes,8.22,68.5,C
S1090,Student_90,CSE,18.0,74.7205245143436,87.0,71.0,64.0,No,5.12,74.0,B
S1091,Student_91,CIVIL,24.0,66.31692515137543,60.0,85.0,87.0,Yes,7.15,77.33,B
S1092,Student_92,IT,18.0,83.51545962490819,93.0,55.0,68.0,No,,72.0,B
S1093,Student_93,MECH,21.0,69.20013648548218,48.0,46.0,56.0,No,5.65,50.0,D
S1094,Student_94,IT,18.0,92.40539428489964,77.0,,40.0,,5.5,58.5,C
S1095,Student_95,MECH,18.0,94.04211184067552,74.0,91.0,61.0,,8.02,75.33,B
S1096,Student_96,MECH,21.0,65.30325561240733,84.0,78.0,44.0,Yes,7.62,68.67,C
S1097,Student_97,MECH,23.0,56.60966783410309,84.0,34.0,82.0,No,6.27,66.67,C
S1098,Student_98,CSE,23.0,75.54101971560173,47.0,66.0,93.0,No,7.35,68.67,C
S1099,Student_99,CSE,21.0,94.74180073700145,92.0,88.0,93.0,Yes,7.46,91.0,A
S1100,Student_100,CSE,24.0,52.63973134033999,76.0,45.0,36.0,Yes,5.98,52.33,D
S1101,Student_101,CIVIL,22.0,77.37799501380897,86.0,,63.0,,8.26,74.5,B
S1102,Student_102,ECE,18.0,77.89361320555123,74.0,90.0,99.0,Yes,8.9,87.67,A
S1103,Student_103,MECH,24.0,83.98678134491686,62.0,65.0,60.0,No,8.96,62.33,C
S1104,Student_104,,18.0,47.894061107635586,46.0,48.0,44.0,,8.01,46.0,D
S1105,Student_105,ECE,22.0,82.94949788092532,99.0,59.0,87.0,Yes,7.56,81.67,B
S1106,Student_106,ECE,23.0,94.54195123993847,33.0,80.0,93.0,No,5.31,68.67,C
S1107,Student_107,IT,,50.78098653221452,49.0,54.0,56.0,Yes,,53.0,D
S1108,Student_108,ECE,20.0,54.25259949543266,76.0,81.0,85.0,No,5.47,80.67,B
S1109,Student_109,CSE,20.0,98.28370564249838,44.0,71.0,82.0,Yes,9.82,65.67,C
S1110,Student_110,ECE,20.0,50.85861716256939,99.0,59.0,55.0,,5.68,71.0,B
S1111,Student_111,CSE,23.0,,76.0,,56.0,No,5.76,66.0,C
S1112,Student_112,,23.0,,38.0,32.0,64.0,Yes,,44.67,D
S1113,Student_113,IT,22.0,54.833864464190626,45.0,50.0,59.0,Yes,9.72,51.33,D
S1114,Student_114,CIVIL,18.0,92.24499407635068,98.0,95.0,62.0,,8.83,85.0,B
S1115,Student_115,IT,22.0,66.71831530015993,90.0,54.0,99.0,No,5.03,81.0,B
S1116,Student_116,IT,22.0,70.8890412357814,39.0,31.0,79.0,No,5.01,49.67,D
S1117,Student_117,CSE,23.0,61.55400216398594,79.0,91.0,41.0,No,6.89,70.33,B
S1118,Student_118,,20.0,75.57705108609565,32.0,89.0,83.0,,5.72,68.0,C
S1119,Student_119,MECH,19.0,49.81143235510137,99.0,60.0,43.0,,5.09,67.33,C
S1120,Student_120,IT,18.0,63.46489219910564,80.0,49.0,,Yes,7.32,64.5,C
S1121,Student_121,,23.0,98.16473934011725,48.0,61.0,,Yes,9.72,54.5,D
S1122,Student_122,ECE,20.0,55.48800596206765,71.0,25.0,44.0,No,6.62,46.67,D
S1123,Student_123,CSE,24.0,79.40419987247753,64.0,39.0,70.0,No,8.31,57.67,C
S1124,Student_124,ECE,19.0,59.511403853481696,75.0,61.0,80.0,No,8.26,72.0,B
S1125,Student_125,MECH,19.0,86.40838754119605,55.0,37.0,66.0,,6.26,52.67,D
S1126,Student_126,IT,23.0,47.85241964310099,98.0,32.0,66.0,,8.25,65.33,C
S1127,Student_127,IT,21.0,98.18926270471269,93.0,29.0,40.0,Yes,6.06,54.0,D
S1128,Student_128,CSE,18.0,67.22737248301836,66.0,84.0,82.0,Yes,5.61,77.33,B
S1129,Student_129,MECH,19.0,54.16302780078784,78.0,97.0,72.0,Yes,8.51,82.33,B
S1130,Student_130,ECE,23.0,44.409804839800756,50.0,25.0,51.0,Yes,5.57,42.0,D
S1131,Student_131,ECE,23.0,50.18547430525244,93.0,60.0,61.0,,9.98,71.33,B
S1132,Student_132,CSE,20.0,71.18643691336106,34.0,59.0,88.0,Yes,5.92,60.33,C
S1133,Student_133,ECE,24.0,60.22019058587718,99.0,90.0,84.0,No,7.97,91.0,A
S1134,Student_134,CSE,21.0,89.73300195295657,33.0,87.0,69.0,Yes,7.06,63.0,C
S1135,Student_135,ECE,18.0,65.85325141970836,,47.0,59.0,Yes,5.63,53.0,D
S1136,Student_136,MECH,22.0,54.92285635525779,64.0,33.0,62.0,No,5.14,53.0,D
S1137,Student_137,CIVIL,24.0,77.0286991962418,30.0,58.0,49.0,No,8.11,45.67,D
S1138,Student_138,ECE,24.0,82.40663301312675,53.0,70.0,38.0,No,9.03,53.67,D
S1139,Student_139,ECE,20.0,50.02251447405699,86.0,28.0,61.0,Yes,9.21,58.33,C
S1140,Student_140,CSE,19.0,50.05715297729906,99.0,54.0,60.0,Yes,7.41,71.0,B
S1141,Student_141,ECE,19.0,42.20028561601258,70.0,99.0,53.0,No,8.89,74.0,B
S1142,Student_142,MECH,20.0,84.18412090393844,83.0,96.0,51.0,No,8.36,76.67,B
S1143,Student_143,ECE,23.0,79.8282716573083,75.0,27.0,77.0,No,8.62,59.67,C
S1144,Student_144,ECE,19.0,68.47785254498883,89.0,38.0,75.0,No,7.46,67.33,C
S1145,Student_145,CSE,21.0,90.65022693815183,89.0,84.0,76.0,Yes,8.17,83.0,B
S1146,Student_146,CIVIL,18.0,88.34020917700319,86.0,69.0,84.0,No,9.03,79.67,B
S1147,Student_147,MECH,24.0,75.12126186380513,60.0,58.0,74.0,No,6.99,64.0,C
S1148,Student_148,CSE,24.0,92.09627683079552,53.0,69.0,73.0,Yes,9.03,65.0,C
S1149,Student_149,ECE,21.0,52.350472602206096,65.0,85.0,57.0,Yes,7.96,69.0,C
S1150,Student_150,,19.0,46.71517716386367,59.0,40.0,86.0,Yes,5.83,61.67,C
S1151,Student_151,ECE,24.0,56.18497669101937,53.0,90.0,81.0,Yes,5.12,74.67,B
S1152,Student_152,CSE,22.0,43.42521136535889,59.0,64.0,97.0,Yes,6.81,73.33,B
S1153,Student_153,MECH,18.0,71.87017168006193,,,77.0,Yes,7.73,77.0,B
S1154,Student_154,ECE,18.0,96.19634153769769,64.0,58.0,,Yes,9.2,61.0,C
S1155,Student_155,ECE,24.0,42.36061244011058,,40.0,68.0,Yes,5.64,54.0,D
S1156,Student_156,CIVIL,,47.32659484060161,43.0,84.0,74.0,Yes,9.0,67.0,C
S1157,Student_157,IT,24.0,67.13194169700611,39.0,90.0,95.0,,,74.67,B
S1158,Student_158,ECE,20.0,96.0325010516743,45.0,90.0,84.0,Yes,5.75,73.0,B
S1159,Student_159,CIVIL,24.0,58.96936629860503,83.0,37.0,96.0,Yes,9.26,72.0,B
S1160,Student_160,ECE,22.0,70.43408852130355,99.0,80.0,92.0,,9.96,90.33,A
S1161,Student_161,CIVIL,23.0,42.494371543023526,73.0,55.0,67.0,No,8.63,65.0,C
S1162,Student_162,CIVIL,18.0,48.90059205772533,74.0,58.0,50.0,,8.92,60.67,C
S1163,Student_163,MECH,24.0,99.19780737753081,85.0,63.0,82.0,No,9.97,76.67,B
S1164,Student_164,CSE,22.0,97.90712178616273,86.0,,,Yes,8.03,86.0,A
S1165,Student_165,IT,20.0,40.29639885606458,50.0,,72.0,,,61.0,C
S1166,Student_166,ECE,20.0,97.10870712539435,97.0,79.0,53.0,Yes,9.19,76.33,B
S1167,Student_167,CSE,18.0,78.34719626893002,79.0,,70.0,No,8.07,74.5,B
S1168,Student_168,CSE,21.0,92.07509767120132,62.0,77.0,93.0,Yes,7.91,77.33,B
S1169,Student_169,MECH,24.0,67.28439133803155,36.0,63.0,97.0,No,6.27,65.33,C
S1170,Student_170,CIVIL,,70.93576171475502,99.0,89.0,80.0,,8.78,89.33,A
S1171,Student_171,CSE,20.0,69.3307948154152,44.0,41.0,37.0,No,5.41,40.67,D
S1172,Student_172,MECH,23.0,80.01185545276627,61.0,54.0,99.0,Yes,9.62,71.33,B
S1173,Student_173,ECE,23.0,48.379075285378775,49.0,77.0,42.0,No,6.63,56.0,C
S1174,Student_174,CIVIL,20.0,41.798415392360674,44.0,37.0,85.0,No,5.64,55.33,C
S1175,Student_175,CSE,21.0,58.47579649547146,77.0,45.0,40.0,,7.21,54.0,D
S1176,Student_176,CIVIL,21.0,82.2808457641988,100.0,43.0,73.0,No,5.21,72.0,B
S1177,Student_177,ECE,22.0,52.1112071273769,50.0,77.0,,No,8.42,63.5,C
S1178,Student_178,CSE,23.0,80.40594599949503,71.0,43.0,62.0,Yes,9.51,58.67,C
S1179,Student_179,CSE,22.0,98.19472276643623,55.0,81.0,88.0,No,,74.67,B
S1180,Student_180,ECE,23.0,45.6340429473651,43.0,49.0,71.0,Yes,5.64,54.33,D
S1181,Student_181,CSE,24.0,80.35612709350758,86.0,55.0,43.0,,5.63,61.33,C
S1182,Student_182,,24.0,66.62501315827427,,79.0,90.0,Yes,9.07,84.5,B
S1183,Student_183,IT,19.0,92.08853526265032,87.0,47.0,93.0,Yes,9.62,75.67,B
S1184,Student_184,ECE,24.0,50.628987366843155,50.0,56.0,36.0,,7.3,47.33,D
S1185,Student_185,CIVIL,19.0,81.55755713356987,,86.0,95.0,,7.49,90.5,A
S1186,Student_186,IT,24.0,90.28691737888661,32.0,98.0,92.0,Yes,6.59,74.0,B
S1187,Student_187,MECH,18.0,96.6768531684414,66.0,34.0,94.0,,9.47,64.67,C
S1188,Student_188,MECH,24.0,80.99488169737876,78.0,96.0,74.0,No,8.22,82.67,B
S1189,Student_189,ECE,22.0,69.83048584050565,48.0,78.0,70.0,Yes,6.44,65.33,C
S1190,Student_190,CSE,20.0,77.07083441207283,41.0,76.0,71.0,No,6.49,62.67,C
S1191,Student_191,,22.0,92.1342990687231,,44.0,52.0,Yes,9.46,48.0,D
S1192,Student_192,,20.0,74.23658479832977,70.0,56.0,97.0,Yes,,74.33,B
S1193,Student_193,CIVIL,21.0,41.82322358181021,62.0,38.0,56.0,Yes,6.61,52.0,D
S1194,Student_194,ECE,22.0,95.85692173041866,79.0,74.0,45.0,Yes,7.77,66.0,C
S1195,Student_195,ECE,21.0,81.37160506189366,97.0,52.0,92.0,,5.74,80.33,B
S1196,Student_196,CIVIL,19.0,80.59080314663478,100.0,77.0,91.0,,5.46,89.33,A
S1197,Student_197,,19.0,52.94050914386303,62.0,,38.0,Yes,9.08,50.0,D
S1198,Student_198,,18.0,,53.0,46.0,41.0,No,9.47,46.67,D
S1199,Student_199,IT,24.0,63.63186433924951,90.0,54.0,95.0,No,9.12,79.67,B
S1200,Student_200,CIVIL,22.0,79.07397862248953,90.0,87.0,88.0,Yes,9.49,88.33,A
S1201,Student_201,CSE,21.0,46.39558181847944,57.0,28.0,35.0,Yes,7.77,40.0,F
S1202,Student_202,CSE,20.0,79.47071827618217,87.0,83.0,89.0,Yes,9.06,86.33,A
S1203,Student_203,,19.0,99.96482354623998,72.0,32.0,37.0,,6.92,47.0,D
S1204,Student_204,CIVIL,24.0,42.892722331633365,70.0,36.0,,Yes,8.33,53.0,D
S1205,Student_205,CSE,19.0,98.63045105327905,68.0,55.0,35.0,Yes,9.94,52.67,D
S1206,Student_206,CSE,20.0,64.41447764337224,78.0,58.0,72.0,No,6.13,69.33,C
S1207,Student_207,CIVIL,24.0,,46.0,99.0,63.0,No,6.95,69.33,C
S1208,Student_208,CSE,24.0,86.94312904349641,99.0,100.0,39.0,Yes,7.4,79.33,B
S1209,Student_209,CSE,21.0,74.02097565920008,99.0,73.0,55.0,,5.69,75.67,B
S1210,Student_210,MECH,21.0,84.30695255507959,94.0,81.0,81.0,Yes,5.41,85.33,A
S1211,Student_211,CIVIL,22.0,92.71093367808086,34.0,50.0,69.0,,9.15,51.0,D
S1212,Student_212,CIVIL,22.0,64.24841929906198,31.0,42.0,35.0,No,9.88,36.0,F
S1213,Student_213,ECE,23.0,59.62198969379432,51.0,62.0,46.0,Yes,7.02,53.0,D
S1214,Student_214,CIVIL,23.0,80.05560313381508,86.0,74.0,94.0,,5.44,84.67,B
S1215,Student_215,ECE,,88.47075651647552,95.0,32.0,61.0,Yes,5.33,62.67,C
S1216,Student_216,ECE,19.0,85.73710808659695,45.0,65.0,90.0,Yes,0.0,66.67,C
S1217,Student_217,CIVIL,22.0,87.86881893151806,80.0,30.0,57.0,,7.32,55.67,C
S1218,Student_218,CIVIL,21.0,66.13499888877598,68.0,93.0,59.0,,6.6,73.33,B
S1219,Student_219,IT,20.0,89.0700529705013,,,55.0,Yes,7.38,55.0,D
S1220,Student_220,CIVIL,21.0,47.212543322236506,67.0,88.0,95.0,Yes,6.59,83.33,B
S1221,Student_221,MECH,19.0,72.66934587765098,89.0,53.0,97.0,No,7.45,79.67,B
S1222,Student_222,CSE,23.0,40.34551962988729,88.0,52.0,86.0,Yes,9.3,75.33,B
S1223,Student_223,ECE,21.0,59.47514979401622,39.0,35.0,59.0,Yes,7.96,44.33,D
S1224,Student_224,ECE,18.0,61.98769209228387,93.0,89.0,89.0,,8.47,90.33,A
S1225,Student_225,ECE,19.0,63.770361496555324,92.0,43.0,80.0,Yes,6.82,71.67,B
S1226,Student_226,ECE,23.0,81.72803240139173,78.0,33.0,66.0,Yes,8.69,59.0,C
S1227,Student_227,ECE,20.0,63.31348607622074,93.0,51.0,89.0,Yes,8.33,77.67,B
S1228,Student_228,,23.0,66.92161735735183,61.0,58.0,39.0,Yes,5.6,52.67,D
S1229,Student_229,CIVIL,24.0,54.252647852459646,36.0,68.0,70.0,No,7.86,58.0,C
S1230,Student_230,IT,18.0,62.39510749776041,50.0,,83.0,,6.28,66.5,C
S1231,Student_231,MECH,19.0,53.63617763578909,49.0,39.0,,Yes,9.02,44.0,D
S1232,Student_232,MECH,20.0,44.39175542610662,55.0,75.0,73.0,Yes,7.13,67.67,C
S1233,Student_233,MECH,18.0,,,37.0,95.0,Yes,9.97,66.0,C
S1234,Student_234,CSE,23.0,80.09276791330097,44.0,73.0,43.0,Yes,,53.33,D
S1235,Student_235,CIVIL,18.0,77.16942076057687,43.0,,40.0,No,8.9,41.5,D
S1236,Student_236,ECE,19.0,67.80964262803434,56.0,80.0,69.0,Yes,8.37,68.33,C
S1237,Student_237,CSE,22.0,62.78714681075379,69.0,100.0,73.0,No,8.84,80.67,B
S1238,Student_238,CIVIL,18.0,91.80001897430952,,75.0,56.0,Yes,6.54,65.5,C
S1239,Student_239,CSE,24.0,71.14490710817309,57.0,61.0,75.0,No,7.46,64.33,C
S1240,Student_240,CSE,18.0,,55.0,41.0,39.0,Yes,8.98,45.0,D
S1241,Student_241,CSE,23.0,,92.0,82.0,76.0,Yes,6.16,83.33,B
S1242,Student_242,,23.0,60.474869657569386,95.0,53.0,64.0,,6.13,70.67,B
S1243,Student_243,ECE,20.0,62.811737127151424,54.0,57.0,91.0,,7.76,67.33,C
S1244,Student_244,CSE,23.0,63.92936685381403,32.0,84.0,63.0,,7.62,59.67,C
S1245,Student_245,,21.0,74.81034215363994,73.0,79.0,71.0,No,6.41,74.33,B
S1246,Student_246,MECH,19.0,72.0161528036127,71.0,34.0,47.0,Yes,6.49,50.67,D
S1247,Student_247,CSE,19.0,76.47430556760668,35.0,71.0,66.0,Yes,6.39,57.33,C
S1248,Student_248,CSE,22.0,85.8929956925277,68.0,47.0,80.0,No,8.86,65.0,C
S1249,Student_249,IT,22.0,88.7791443229656,81.0,45.0,57.0,,8.26,61.0,C
S1250,Student_250,ECE,19.0,83.08738457358967,52.0,37.0,79.0,,9.16,56.0,C
S1251,Student_251,ECE,24.0,97.33142175729608,79.0,57.0,51.0,Yes,9.88,62.33,C
S1252,Student_252,IT,22.0,41.0939549605817,,48.0,100.0,Yes,7.37,74.0,B
S1253,Student_253,ECE,20.0,51.74667914101276,48.0,35.0,40.0,No,5.33,41.0,D
S1254,Student_254,CSE,23.0,40.45377249868853,98.0,41.0,52.0,No,5.24,63.67,C
S1255,Student_255,MECH,19.0,78.84848284927618,80.0,92.0,56.0,,6.48,76.0,B
S1256,Student_256,CSE,22.0,93.88183293699922,40.0,71.0,67.0,Yes,9.66,59.33,C
S1257,Student_257,CIVIL,,54.608937794577955,41.0,49.0,,Yes,7.62,45.0,D
S1258,Student_258,MECH,21.0,95.6220726877784,37.0,97.0,66.0,No,6.36,66.67,C
S1259,Student_259,CSE,18.0,43.61604341737365,53.0,45.0,76.0,Yes,7.0,58.0,C
S1260,Student_260,CIVIL,23.0,96.06616160833086,70.0,36.0,44.0,Yes,7.99,50.0,D
S1261,Student_261,ECE,19.0,61.09736123437806,65.0,61.0,70.0,Yes,8.26,65.33,C
S1262,Student_262,CSE,18.0,46.08524970695299,84.0,66.0,68.0,No,5.77,72.67,B
S1263,Student_263,MECH,,69.15230555117954,38.0,41.0,62.0,No,9.89,47.0,D
S1264,Student_264,IT,18.0,55.40659406323048,76.0,72.0,45.0,,7.72,64.33,C
S1265,Student_265,CIVIL,23.0,57.092374117715366,,52.0,73.0,Yes,5.68,62.5,C
S1266,Student_266,CIVIL,19.0,58.43739789557719,77.0,65.0,81.0,,9.47,74.33,B
S1267,Student_267,CIVIL,21.0,88.1815538699598,71.0,,53.0,Yes,5.37,62.0,C
S1268,Student_268,ECE,24.0,72.34967660051527,89.0,42.0,49.0,,9.54,60.0,C
S1269,Student_269,ECE,22.0,58.67846194936022,99.0,95.0,62.0,No,9.98,85.33,A
S1270,Student_270,IT,19.0,76.6200269986551,41.0,37.0,58.0,No,8.5,45.33,D
S1271,Student_271,IT,23.0,82.96904045339161,31.0,37.0,43.0,No,,37.0,F
S1272,Student_272,IT,22.0,,36.0,55.0,81.0,Yes,,57.33,C
S1273,Student_273,,20.0,64.8129460915211,32.0,26.0,67.0,Yes,9.71,41.67,D
S1274,Student_274,MECH,18.0,47.313165600216855,32.0,40.0,96.0,No,7.65,56.0,C
S1275,Student_275,MECH,24.0,50.86896097208082,56.0,33.0,53.0,No,8.66,47.33,D
S1276,Student_276,IT,23.0,80.86707123789897,69.0,97.0,74.0,Yes,9.62,80.0,B
S1277,Student_277,CIVIL,20.0,50.88630086173762,62.0,62.0,81.0,Yes,9.88,68.33,C
S1278,Student_278,CIVIL,19.0,71.50980302002361,30.0,99.0,99.0,Yes,9.17,76.0,B
S1279,Student_279,IT,21.0,82.54277570334597,37.0,78.0,63.0,Yes,6.52,59.33,C
S1280,Student_280,,22.0,46.41261538568463,61.0,80.0,84.0,Yes,9.83,75.0,B
S1281,Student_281,ECE,18.0,74.03873317773422,77.0,69.0,,,8.14,73.0,B
S1282,Student_282,ECE,22.0,55.393767022081825,33.0,58.0,35.0,No,9.65,42.0,D
S1283,Student_283,CSE,24.0,97.77561251425479,99.0,,68.0,Yes,8.38,83.5,B
S1284,Student_284,MECH,19.0,69.01273880319548,48.0,32.0,82.0,Yes,6.54,54.0,D
